"","ZFTA_NPC.like.2","ZFTA_MES_like","ZFTA_Radial.glia.like","ZFTA_NPC.like.1","ZFTA_Ependymal.like","ZFTA_Neuroepithelial_like","ZFTA_Cycling","ZFTA_NPC.like.3"
"61","RYR2","BNIP3L","SLCO1C1","KCNH7","PPP1R42","HINT1","BRCA2","PRR5"
"62","SKAP2","EGLN1","PCDH9","IGDCC3","SLC41A1","PSME1","KIFC1","UNC80"
"63","HTR4","FAM129A","NLGN4X","DSCAML1","LRRC6","RAN","DTL","TICRR"
"64","RIT2","GBE1","IPO9-AS1","PDGFRA","TEKT2","LAPTM4A","SKA1","CLDN11"
"65","GABRA6","SF3B1","GRM3","EYA2","CHDC2","HLA-C","SMC4","FBN1"
"66","PKHD1","TIMM44","FAM182B","ATP2B2","ZNF487","COX6A1","ANLN","SAMD12"
"67","GNGT1","PAM","FMN2","CERS6","NEK10","RNASEK","GTSE1","APCDD1"
"68","SAMD3","RANBP2","KIF5C","NTM","FRMPD2","PRDX5","PKMYT1","TWIST1"
"69","HS6ST3","VMP1","RP6-206I17.1","MAML3","LRRC9","BSCL2","CDC45","ALS2CL"
"70","VAV3","DNAJB1","SNTG2","VASH1","SERPINI2","SQSTM1","UBE2C","PDGFC"
"71","CYP4X1","AKAP12","CHKA","FNBP1L","DYNLRB2","BEX1","FAM64A","PIEZO1"
"72","SLC22A24","LTN1","FOXG1","IGSF9","WDR63","TMA7","TIMELESS","FBXL4"
"73","STK32B","CARS","OAF","RHCG","USP2-AS1","PFN1","TK1","EFHD1"
"74","ADAMTS12","HAP1","EVA1C","MIR181A1HG","KIAA0319","SUMO2","RNASEH2A","IFITM10"
"75","RIMS1","LAMC1","KCNN3","ANKRD13B","PPP1R32","CLIC1","CENPP","CACNA1G"
"76","U91319.1","RNMT","RGS6","TPSG1","KIAA1377","SPCS1","NEIL3","HMGCLL1"
"77","ACOXL","PPFIA4","PCDH9-AS2","GAD2","CCDC108","SPARC","TPX2","WSCD2"
"78","EMCN","SMYD3","LIPG","LIMD1","FANK1","SOD1","FOXM1","SLC7A6"
"79","POU6F2","GTPBP2","GABBR1","CELF4","C6ORF165","HLA-B","KIF14","FBN3"
"80","AGMO","MKNK2","IL33","XYLT1","CSPP1","RPL18A","FANCD2","WIF1"
"81","LY86-AS1","SHMT2","AFF3","TFDP2","TTC34","ATP6AP1","POC1A","OAF"
"82","TRHDE","ZFP36","PLEKHG1","TSPAN18","DNAH12","PRNP","ARHGEF39","BIN1"
"83","TMPRSS15","PLOD2","RNF219-AS1","ARHGAP42","CCDC173","COX5B","CCNA2","NOS1"
"84","AR","HRH1","PRRX1","ELOVL2","CCDC114","ARF1","KNTC1","COL5A2"
"85","CD163L1","ATF3","FAM189A2","DRAXIN","IFLTD1","RPL9","NDC80","SPATA16"
"86","CLIC5","UBC","MAST4","PDE10A","SPAG1","ANXA5","CENPF","PLCB3"
"87","CALCB","CDC73","FADS2","EVL","RSPH4A","STOM","POLA2","THSD7A"
"88","OR4N2","SKIV2L","LAMA1","DUOX1","RSPH10B2","ATP5A1","TMPO","TMEM59L"
"89","SLC25A21","ACVR1","PPP2R2B","WNT7B","WDR52","CLDN5","EXO1","RIMS2"
"90","AC133680.1","GSR","ETV6","HIC2","IQCA1","NME1-NME2","E2F2","ZNF385B"
"91","SHISA9","KDM3A","RANBP3L","ST18","TTC21A","ARL6IP5","CHTF18","ACPP"
"92","OR2L13","SLC5A10","GDF1","APBA2","STPG1","EID1","RACGAP1","FAP"
"93","CCDC85A","SS18L1","GALNT16","KCND3","SPATA6L","PSMB6","BLM","PDGFD"
"94","EDIL3","YBX3","CADPS","CDK6","SHANK2","ARL2","WDR76","PVRL2"
"95","MMP26","SUPT5H","RASSF4","SERINC5","MAPK15","TKT","RTKN2","MMP17"
"96","RAB3C","SLC7A1","SHROOM3","MYT1L","WDR93","TCEB2","RAD18","TIAM1"
"97","ANKRD30A","BEST1","TBX5","TUBB3","CCDC39","CRABP2","CENPH","EXPH5"
"98","TFEC","STK40","KCNK10","CLVS2","NPHP1","RNF5","MCM2","TRPM3"
"99","KIAA1239","SLC16A3","LIMCH1","KIF26B","ANKRD18B","TAGLN2","KIF15","SNED1"
"100","CPED1","SEL1L","AQP4-AS1","SOX4","CCDC13","CTSD","KIF2C","ATP10A"
"101","CCDC26","UBQLN1","CSPG5","TBX5","ANKRD45","RPL23A","DTYMK","KREMEN1"
"102","CALN1","PRELID2","B3GALT1","LRP8","WDR66","SELM","BIRC5","RARB"
"103","SLCO6A1","CDK11A","FUT9","MLLT4","CCDC33","DNAJA1","EZH2","LAMA3"
"104","TSPAN8","UTP23","EYA4","KIF3C","ZNF273","DCXR","FANCA","RNF207"
"105","SLC9B1P1","FAM162A","CHST9","ASXL3","UTY","TM7SF2","POLE","DLC1"
"106","KCNK2","SNHG8","SLC25A18","WSCD1","TSGA10","ARL6IP1","RRM1","ABHD6"
"107","GABRB2","MAFG","GAREM","RNF180","FAM216B","GPX1","ZNF43","ANK3"
"108","FMN1","PIP5K1C","APBA1","TMEM2","RSPH10B","LY6E","ATAD2","SMAD6"
"109","CALCR","INSIG2","FAM118A","SRRM4","FAM81B","AURKAIP1","GINS1","KIAA1456"
"110","ANO2","PTP4A2","FERMT2","PTCHD2","TCP11L2","PPT1","CDCA3","WNT3A"
"111","POF1B","FAM208B","FAM66D","PBX3","KLHL32","GLUL","ZNF730","SNAP25"
"112","AF121898.3","CCNT1","FAM178A","GLCE","TTC23L","BANF1","POLA1","JAG2"
"113","TM4SF2","C1QTNF7","CDHR3","SEMA6D","DCDC2","GSN","RAD54B","LINGO1"
"114","NXPH1","GCLM","CLIP1","MKRN3","AK8","MYL12B","OGN","TRAF5"
"115","SLC35F3","ADAM20","GRIA1","PCSK2","UBE3D","LAMTOR5","POLD1","TGFBR3"
"116","PKHD1L1","GARS","TGFB2","LEMD1","SLC9C2","EEF1B2","POLQ","RBFOX3"
"117","CPNE8","ARRDC3","SPRED1","PC","IL5RA","ST13","HAUS8","RBFOX1"
"118","PPP1R3A","PSMC6","VCAN","XAB2","FAM166B","SLC25A4","MCM3","DCHS2"
"119","CT60","CEBPG","ITM2C","RAB8B","DNAH5","SBDS","PTTG1","FREM1"
"120","MYO3B","SLC7A5","EPB41L3","STMN4","BCO2","SPINT2","MCM7","GRIA2"
"121","GPR112","DDIT4","TLN2","SOGA3","FAM65C","SH3BGRL3","SPC25","GRIN2D"
"122","DNAH8","RPS6KA3","PTPRM","ITPK1","ANKRD18A","NINJ1","CCNE2","GNB3"
"123","ITGA8","ATF4","GRB14","GLCCI1","NME9","TMED9","CDC6","ULK1"
"124","NDST4","ABCE1","FAM219A","KCNQ1OT1","LRRC43","GTF3C6","MIS18BP1","CAPN15"
"125","ZMAT4","ZC3H11A","HAUS7","HMX1","ZDHHC11","BEX4","VRK1","KDM4B"
"126","STAC","WARS","NTRK3","KCTD8","KCNA6","ANXA1","CDCA4","DKK2"
