Microglia,C1Q Immunosuppressive,Neutrophil,Scavenger Immunosuppressive,G2-M,IFN Response,IL1B Inflammatory,cDC,G1-S,Hypoxia,CXCR4 Inflammatory,HS-UPR,Macrophage,Monocyte
ARMH4,SERPINA1,IL18R1,SPRED1,CDCA3,SIGLEC1,GBP2,NAAA,ZWINT,COL27A1,MTSS1,MYLIP,IQGAP2,S100A10
HPGDS,TMEM70,CRISPLD2,TTYH3,CENPA,BST2,SERPINB9,LSP1,CENPM,AL133453.1,KHDRBS3,SQSTM1,RRAGD,CD93
CEBPA,FCGR1A,MSRB1,FPR3,SMC4,LGALS3BP,ELL2,STK17B,H2AFZ,TMEM45A,PDGFB,HSPA5,HTRA4,S100A4
FCGR3A,CPM,STK17B,ARHGAP18,CKS1B,PSMB9,CSRNP1,GPR157,CENPK,ANGPTL4,PAPOLG,LNCAROD,NPL,DMXL2
C1QC,ITGAV,LITAF,HIF1A,TROAP,TNFSF13B,KLF6,CPVL,WDR76,BCAT1,GPM6A,AL499604.1,PLPP3,AP1S2
GYPC,C2,CYP4F3,LTBP2,TTK,LAP3,PTGS2,DUSP4,BRIP1,GPNMB,TNFRSF13C,ALAS1,LGALS1,MAP3K20
VSIG4,GAL3ST4,RGS2,OLFML2B,ARHGAP11A,IFI27,OTUD1,CRIP1,MCM5,EIF4EBP1,CXCL12,RGS2,PKD2L1,GLIPR2
RAMP1,APOE,ADGRE5,LGI2,KIF11,ZBP1,PPP1R15B,CBFA2T3,NASP,PKM,ADRB2,ZC3HAV1,DAB2,CYP1B1
MPC2,PSAP,QPCT,SEPTIN11,CDCA2,IFITM1,NLRP3,CRYBG1,CDCA5,GPR146,AP005530.1,WDR61,CD59,CDA
TLN2,FOLR2,LILRB3,SASH1,HJURP,TAP1,BTG2,DUSP5,DNMT1,MT1X,OTUD1,SOD2,MGST3,CLEC12A
IPCEF1,GPR155,DGAT2,ANXA2,CKAP2L,PSME2,TRIB1,AREG,E2F2,FCGR2B,TAL1,PLK2,RARRES1,NRG1
LINC01235,HLA-DPB1,TXNIP,EMILIN2,AURKB,CXCL11,SGK1,TXN,DNAJC9,SCD,CLEC9A,DDIT4,CPM,JARID2
C1QB,PLXNC1,BASP1,ABCA1,BUB1B,WARS,NFKB1,SPIB,GMNN,CLEC2B,DDX3Y,NR4A1,DNASE2,GK
CYTL1,SERPING1,TAGLN2,ME1,NDC80,CALHM6,NEDD9,ASB2,ASF1B,RALA,ARRDC3,IFRD1,NUPR1,TYMP
PMEPA1,CPVL,DYSF,VSIG4,HMGN2,TYMP,EGR1,CD48,RFC4,ZNF395,C12orf57,RHOB,ATOX1,BST1
